葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
越千年赤霞珠干红葡萄酒,591,"Yue Qian Nian Cabernet Sauvignon, Changli, China",红葡萄酒,越千年葡萄酒,"('赤霞珠',)",烟熏青椒浆果,这款葡萄酒呈现深红色泽，澄清透明，香气浓郁优雅、有烟熏味、青椒香、浆果香气，柔美平顺、单宁适中易入口，适合搭配烤鸭、牛排、红烧和煎炸等食物饮用。
越千年新五钻赤霞珠干红葡萄酒,525,"Yue Qian Nian New 5-Diamond Cabernet Sauvignon, Changli, China",红葡萄酒,越千年葡萄酒,"('赤霞珠',)",黑加仑黑樱桃胡椒,这款葡萄酒呈深宝石红，香气优雅、细致、典雅、酒香与果香很好地结合，醇厚、丰满、结构佳、回味绵长，适宜与蜜汁牛排，烤肉，砂锅以及番茄类意餐，或重口味硬乳酪搭配。
越千年精选赤霞珠干红葡萄酒,592,"Yue Qian Nian Premium Cabernet Sauvignon, Changli, China",红葡萄酒,越千年葡萄酒,"('赤霞珠',)",黑加仑黑莓烟熏青椒,这款葡萄酒呈宝石红，香气浓郁优雅，有明显的黑加仑、黑莓等浆果的香气，还伴有烟熏味以及青椒香气，柔美平顺、适合搭配烤鸭、牛排、红烧和煎炸等食物饮用。
越千年蛇龙珠干红葡萄酒,467,"Yue Qian Nian Cabernet Gernischt, Changli, China",红葡萄酒,越千年葡萄酒,"('蛇龙珠',)",黑色浆果,这款葡萄酒具有宝石红色，散发着浓郁和谐的酒香，滋味醇厚，酒体丰满、肥硕，余韵均衡，持久圆润柔顺。
怀来龙腾黄金地带五星西拉干红葡萄酒,2796,"Huailai Longteng Golden Zone Five Star Syrah, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('西拉',)",,这款葡萄酒带有西拉的典型风格，散发出充沛的成熟黑樱桃、黑莓、甘草、黑胡椒等水果香气，口感多汁，结构平衡。
怀来龙腾黄金地带龙眼干白葡萄酒,2130,"Huailai Longteng Golden Zone Longyan, Huailai, China",白葡萄酒,怀来龙腾葡萄酒,"('龙眼葡萄',)",,这款酒以龙眼葡萄酿造，散发着澎湃的成熟水果香气，以柑橘、甜瓜、黄桃、花香为主，口感柔和，酸度适中，结构平衡。
怀来龙腾黄金地带精选级干红葡萄酒,1005,"Huailai Longteng Huangjin Di Dai Selection, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",,这款葡萄酒带有多汁的新鲜水果香，如黑醋栗、红樱桃等，口感柔顺，酸度平衡，容易饮用。
龙磐庄园五星赤霞珠干红葡萄酒,750,"Longpan Zhuangyuan Five Star Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",黑醋栗、黑莓、丁香,这款葡萄酒经过长时间的陈年带有更多的陈年香气，以非常成熟的黑醋栗、黑莓、黑樱桃为主，带有明显的甘草等香料特征，口感圆润饱满，结构平衡，酸度适中，余韵长。
龙磐酒堡特级60年老树赤霞珠干红葡萄酒,1661,"Longpan Grand 60 Year Old Vine Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",,这款葡萄酒以60年老藤酿造，香气浓郁，以黑醋栗、黑樱桃、红樱桃为主，并带有淡淡的香料味，口感顺滑、多汁，酸度平衡，单宁成熟，余韵长。
怀来龙腾黄金地带干红葡萄酒,1082,"Huailai Longteng Huangjin Di Dai, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",黑醋栗、黑樱桃、红樱桃、皮革,这款葡萄酒以浓郁的黑色水果香气为主，散发着赤霞珠、果梗等香气，口感顺滑，结构平衡饱满，单宁成熟，口腔中可以感受到淡淡的皮革香气，有不错的陈年潜力。
龙磐庄园酒堡特级赤霞珠干红葡萄酒,1591,"Longpan Grand Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",,这款葡萄酒呈宝石红色，香气充沛，带有明显的黑樱桃、红樱桃、黑醋栗等水果香气，口感顺滑多汁，结构平衡，5L的容量使得这款酒更具陈年潜力。
怀来龙腾黄金地带优选级赤霞珠干红葡萄酒,1003,"Huailai Longteng Golden Zone Selection Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",黑醋栗、黑樱桃、红樱桃、甘草,这款葡萄酒带有新鲜的水果香气，如黑醋栗、黑樱桃、红樱桃、李子等，口腔中还可以明显感受到香料气息，口感丰富，结构平衡。
龙磐庄园三星赤霞珠干红葡萄酒,855,"Longpan Zhuangyuan Three Star Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",黑醋栗、红樱桃,这款葡萄酒呈石榴红色，散发着充沛的黑醋栗、黑樱桃、红樱桃、李子等水果香气，口感柔顺多汁，酸度适中，结构平衡，有一定陈年潜力。
龙磐庄园四星赤霞珠干红葡萄酒,940,"Longpan Zhuangyuan Four Star Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",黑醋栗、黑莓、香料,这款葡萄酒经过一段时间的陈酿，香气越发成熟，带有黑醋栗、黑樱桃、李子等水果香，口感柔顺，结构平衡，酸度适中，回味中带有一些香料气息。
怀来龙腾黄金地带特选级赤霞珠干红葡萄酒,832,"Huailai Longteng Golden Zone Special Selection Cabernet Sauvignon, Huailai, China",红葡萄酒,怀来龙腾葡萄酒,"('赤霞珠',)",黑醋栗、黑樱桃、甘草、丁香,这款葡萄酒呈宝石红色，以新鲜的果香为主，带有明显黑醋栗、黑莓、李子等果香，口感顺滑多汁，结构平衡，酸度适中。
怀来龙腾黄金地带霞多丽干白葡萄酒,783,"Huailai Longteng Golden Zone Chardonnay, Huailai, China",白葡萄酒,怀来龙腾葡萄酒,"('霞多丽',)",柑橘类、青苹果、白桃,这款霞多丽干白葡萄酒带有明显的柑橘类水果、青苹果、白桃等水果香气，口感顺滑，酸度平衡。
桑干河谷庄园珍藏西拉干红葡萄酒,2091,"Sanggan Valley Manor Reserve Syrah, Huailai, China",红葡萄酒,红叶庄园,"('西拉',)",草莓香草覆盆子,桑干河谷庄园珍藏西拉干红葡萄酒的酒液呈深红色，香气中带有红色水果如草莓、覆盆子和坚果的气息，酒体丰满，单宁坚固，余味持久。
红叶庄园特选赤霞珠干红葡萄酒,1683,"Chateau Red Leaf Special Cabernet Sauvignon, Huailai, China",红葡萄酒,红叶庄园,"('赤霞珠',)",黑醋栗李子香草,红叶庄园特选赤霞珠干红葡萄酒由优质赤霞珠葡萄精酿而成，葡萄酒酒呈宝石红色，酒中带有明显的黑醋栗、李子等成熟水果香气，还伴有香草和橡木等香气，酒体饱满，口感圆润。
红叶庄园特选梅洛干红葡萄酒,2555,"Chateau Red Leaf Special Merlot, Huailai, China",红葡萄酒,红叶庄园,"('梅洛',)",蓝莓桑椹,红叶庄园特选梅洛干红葡萄酒由优质梅洛葡萄精酿而成，口味纯正，品质优良，最适宜与各种肉类菜肴搭配。
桑干河谷庄园特选霞多丽干白葡萄酒,1688,"Sanggan Valley Manor Special Chardonnay, Huailai, China",白葡萄酒,红叶庄园,"('霞多丽',)",柚子梨子油桃,桑干河谷庄园特选霞多丽干白葡萄酒是一款质地清爽的白葡萄酒，富有柚子、成熟的梨子和油桃等多种水果香气，品质良好，口感清新自然。
红叶庄园特选马瑟兰干红葡萄酒,1107,"Chateau Red Leaf Special Marselan, Huailai, China",红葡萄酒,红叶庄园,"('马瑟兰',)",龙眼干甘草,红叶庄园特选马瑟兰干红葡萄酒由精选马瑟兰葡萄酿制而成。该酒酒体呈深紫罗兰色，晶莹透亮，果气浓郁，还伴有优雅丝丝的香料味，口感柔滑，回味绵长。
桑干河谷庄园精酿霞多丽干白葡萄酒,1491,"Sanggan Valley Manor Premium Chardonnay, Huailai, China",白葡萄酒,红叶庄园,"('霞多丽',)",桃子柠檬,桑干河谷庄园精酿霞多丽干白葡萄酒是一款质地清爽的白葡萄酒，带有浓郁的热带水果香气，口感顺滑，馨香无比。
桑干河谷庄园珍藏赤霞珠梅洛干红葡萄酒,1002,"Sanggan Valley Manor Reserve Cabernet Sauvignon-Merlot, Huailai, China",红葡萄酒,红叶庄园,"('梅洛', '赤霞珠')",樱桃李子草莓,桑干河谷庄园珍藏赤霞珠梅洛干红葡萄酒是一款充满活力的葡萄酒，酒液呈红李子色，带有丰富的成熟水果风味如李子、樱桃等，富有层次感，令人满意。
红叶庄园特选西拉干红葡萄酒,946,"Chateau Red Leaf Special Syrah, Huailai, China",红葡萄酒,红叶庄园,"('西拉',)",梅子甘草樱桃,红叶庄园特选西拉干红葡萄酒由优质西拉葡萄精酿而成，葡萄酒呈深红色，闻之富含黑色浆果、香料和香草的气息，单宁优雅，回味悠长。
圣马酒庄庄园甜红葡萄酒,4339,"Chateau Holy Horse Sweet Red, Hebei, China",红葡萄酒,圣马酒庄,(),,这一系列甜红葡萄酒采用圣马教堂小酒庄传统手工工艺精心酿制而成。葡萄酒呈宝石红色，具有强烈的品种香、橡木桶香以及层次不一的干果香；酒质馥郁而不甜腻，浓郁而不单调；酒体丰满而富有节奏；单宁紧凑而柔和。余韵中渗透了水蜜桃和无花果的倩影。
圣马酒庄庄园干红葡萄酒,3806,"Chateau Holy Horse Dry Red, Hebei, China",红葡萄酒,圣马酒庄,(),成熟水果香草可可咖啡,这一系列干红葡萄酒采用圣马教堂小酒庄传统手工工艺精心酿制而成。葡萄酒呈宝石红色，具有强烈的品种香、橡木桶香以及层次不一的植物香；酒质沉稳而优雅，和谐而整齐；酒体丰满而细致；口感变化多端且富有层次。余韵中渗透了香味的百般风情。
圣马酒庄庄园干白葡萄酒,1060,"Chateau Holy Horse Dry White, Hebei, China",白葡萄酒,圣马酒庄,(),白桃甜瓜柑橘,这一系列干白葡萄酒采用圣马教堂小酒庄传统手工工艺精心酿制而成。葡萄酒呈明亮的金黄色，具有强烈的品种香、橡木香和不同层次的陈年酒香；酒质随年份的不同从清新爽顺逐渐向浓郁优雅过渡；口感圆润细致，层次变化复杂而有规律；酒体均匀而丰满。余韵中渗透了甘草的清香。
圣马酒庄庄园甜白葡萄酒,1865,"Chateau Holy Horse Sweet White, Hebei, China",白葡萄酒,圣马酒庄,(),荔枝芒果,这一系列甜白葡萄酒采用圣马教堂小酒庄传统手工工艺精心酿制而成。葡萄酒呈明亮的金黄色，晶莹剔透，具有强烈的品种香、橡木香和不同层次的陈年酒香；口感香甜细致；酒体优雅而结构均匀；酒质柔顺圆滑，随年份的不同从清新逐渐向浓郁过渡。余韵中渗透着浓郁的荔枝和芒果的甜美香气。
丰收怀来8号产区珍酿干红葡萄酒,2288,"Harvest Huailai Treasured No.8 Growing District Dry Red, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",覆盆子香草,丰收怀来8号产区珍酿干红葡萄酒精选来自丰收怀来产区八号葡萄园的限产赤霞珠，精心酿制而成。当地葡萄成熟期近13度的温差令果实汲取了更多的营养，较大的昼夜温差令葡萄糖度得以积淀，风味浓郁。该葡萄酒经法国优质橡木桶陈酿，酒液呈宝石红色，多重果香和优雅木香相得益彰，酒体丰满，余味不绝。
丰收贵人香干白葡萄酒,1177,"Harvest Riesling Italico, Huailai, China",白葡萄酒,丰收葡萄酒,"('意大利雷司令',)",热带水果,丰收贵人香干白葡萄酒选用世界名贵白葡萄品种贵人香为原料，采用全套进口先进设备及科学的酿造工艺精心酿造而成。葡萄酒酒液呈浅黄色，澄清透明，果香浓郁，入口清爽，酒体醇厚，回味绵长。
丰收迟摘系列赤霞珠干红葡萄酒,2361,"Harvest Late Harvest Cabernet Sauvignon, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",成熟水果香草咖啡,该款葡萄酒选用延迟采摘的世界名贵红葡萄品种赤霞珠为原料，酒体呈深宝石红色，多重果香中点缀着典雅的橡木气息，香气浓郁丰厚，单宁如天鹅绒般细腻，酒体丰满，回味无穷，实为酒中佳品。
丰收迟摘系列霞多丽干白葡萄酒,1362,"Harvest Late Harvest Chardonnay, Huailai, China",白葡萄酒,丰收葡萄酒,"('霞多丽',)",柠檬西柚奶油,该款葡萄酒选用推迟收获时间的世界名贵白葡萄品种霞多丽为原料，经低温发酵而成。葡萄酒酒液呈高贵精致的浅黄色，拥有沁人心脾的花香及热带水果气息，口感饱满清新，怡雅协调，是一款令人回味无穷的珍品。
丰收怀来1号产区珍酿干红葡萄酒,903,"Harvest Huailai Treasured No.1 Growing District Dry Red, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",黑樱桃香草烘烤,丰收怀来1号产区珍酿干红葡萄酒采用丰收怀来产区一号葡萄园的赤霞珠酿造而成。该酒呈亮丽的宝石红色，果香充沛，木香淡雅，单宁柔和，酒体柔润。饮用时，该美酒如丝绸一样划过味蕾，温柔却充满质感，悠然回味令饮用者陶醉其中。
丰收雷司令干白葡萄酒,1076,"Harvest Riesling, Huailai, China",白葡萄酒,丰收葡萄酒,"('雷司令',)",柠檬西柚,丰收雷司令干白葡萄酒系选用世界名贵葡萄品种雷司令为原料，采用全套进口先进酿造设备经控温发酵而成。该款葡萄洒呈浅黄色，晶莹剔透，香气完整、柔和，酒体协调、清爽，酒质纯正，回味绵延。
丰收橡木桶珍酿12月干红葡萄酒,1512,"Harvest Treasured 12-Month Oak Barreled Dry Red, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",成熟水果香草咖啡,该款葡萄酒采用优质红葡萄品种赤霞珠为原料，精心酿制而成。恰到好处的12个月美国橡木桶储存令酒液呈现出亮丽的宝石红色，典型的赤霞珠香气尽情展现，酒体均衡、果香充沛、口感圆润、木香雅致。
丰收怀来5号产区珍酿干红葡萄酒,927,"Harvest Huailai Treasured No.5 Growing District Dry Red, Huailai,, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",黑醋栗黑樱桃香草,丰收怀来5号产区珍酿干红葡萄酒选自丰收怀来产区五号葡萄园的赤霞珠为原料，该地较大的昼夜温差赋予果实诱人的色泽以及丰富的营养物质。该葡萄酒具有晶莹的宝石红色、优雅的果香以及点缀其中的淡然木香，细腻丝质的口感让人留恋不已。
丰收怀来6号产区珍酿干红葡萄酒,1238,"Harvest Huailai Treasured No.6 Growing District Dry Red, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",黑醋栗黑加仑黑莓,"丰收怀来6号产区珍酿干红葡萄酒优选丰收怀来产区六号葡萄园的赤霞珠,精心酿制而成。葡萄酒酒液呈宝石红色，具有黑色水果的典型香气，紧密的单宁造就该酒坚实体格，法国橡木桶则为它带来优雅的风度。"
丰收私房珍藏系列珍藏赤霞珠干红葡萄酒,856,"Harvest Private Reserve Cabernet Sauvignon, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",覆盆子香草烘烤,丰收私房珍藏系列珍藏赤霞珠干红葡萄酒精选赤霞珠为原料，酒液呈瑰丽的宝石红色，香气馥郁，带有优雅的橡木香及香草气息，酒体丰满，层次分明，饮后唇齿留香。
丰收怀来3号产区珍酿干红葡萄酒,945,"Harvest Huailai Treasured No.3 Growing District Dry Red, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",黑加仑咖啡香草,丰收怀来3号产区珍酿干红葡萄酒采用丰收怀来产区三号葡萄园收获的赤霞珠酿造而成。葡萄酒呈晶莹亮丽的宝石红色，充沛的果香中蕴含恰到好处的橡木香，芬芳的香气，令人拥有难忘的味蕾体验。
丰收怀来9号产区珍酿干红葡萄酒,750,"Harvest Huailai Treasured No.9 Growing District Dry Red, Hualaii, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",黑醋栗青辣椒烘焙烤面包,"丰收怀来9号产区珍酿干红葡萄酒甄选来自丰收怀来产区九号葡萄园的限产赤霞珠,精心酿制而成。该产区位于向阳坡地，该地的沙砾土壤有利于葡萄根系更好地伸展并为果实供给营养。该酒酒液呈现深宝石红色带有黑醋栗和青辣椒的典型香气，在法国橡木桶熟成后，带有烘焙、烤面包的香气，单宁强劲，口感饱满厚重，回味绵延。"
丰收私房珍藏系列典藏赤霞珠干红葡萄酒,862,"Harvest Private Reserve Classic Cabernet Sauvignon, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",成熟水果香草烟熏,丰收私房珍藏系列典藏赤霞珠干红葡萄酒甄选名贵红葡萄酒品种赤霞珠为原料，该酒呈迷人的宝石红色，挂杯长而持久，其和谐优雅的果香、酒香、以及橡木香为饮用者带来绝美享受，余味悠远，回味绵长。
丰收橡木桶珍酿18月干红葡萄酒,551,"Harvest Treasured 18-Month Oak Barreled Dry Red, Huailai, China",红葡萄酒,丰收葡萄酒,(),成熟水果香草可可,该款葡萄酒精选名贵红葡萄品种赤霞珠为原料，由经验丰富的酿酒师精心酿制而成。酒液经纯正法国橡木桶陈酿16月直至熟化，呈现晶莹的深宝石红色。酒中富含馥郁优雅的果香、酒香及精致橡木香，口感醇厚，芬芳于口中蔓延，沁人心脾。
丰收迟摘系列典藏赤霞珠干红葡萄酒,875,"Harvest Late Harvest Reserve Cabernet Sauvignon, Huailai, China",红葡萄酒,丰收葡萄酒,"('赤霞珠',)",成熟水果香草咖啡,该款葡萄酒精选向阳坡地的名贵红葡萄品种赤霞珠为原料，通过限产，推迟采摘时间，确保葡萄糖酸度比例，并经法国优质橡木桶陈酿。该酒单宁完美协调，晶莹亮丽的深宝石红色与馥郁优雅的果香、酒香及精致橡木香相得益彰，口感醇厚，余味绵长。
丰收橡木桶珍酿24月干红葡萄酒,356,"Harvest Treasured 24-Month Oak Barreled Dry Red, Huailai, China",红葡萄酒,丰收葡萄酒,(),成熟水果青椒香料,这是一款专属优雅生活的甄选美酒，由经验丰富酿酒师精心调配而成。该酒经法国优质橡木桶陈酿24个月，并及适时瓶储，酒涂呈现出瑰丽的深宝石红色，色泽优美，香气细腻浓郁，酒体醇厚，单宁强劲，颇具陈年潜力。
仁轩酒庄艾美隆特选干红葡萄酒,1747,"Renxuan Winery Aimeilong Special Selected Dry Wine, Qinhuangdao, China",红葡萄酒,仁轩酒庄,"('梅洛',)",饱满丰满柔顺,这款葡萄酒由精选的梅洛为酿酒原料，经过法国橡木桶的陈年，口感更佳。酒液呈现出靓丽的宝石红色，散发着优雅果香，果香清新自然，酒体饱满，单宁丰满柔顺，适合搭配多种菜肴。
仁轩酒庄熊猫精品干红葡萄酒,1211,"Renxuan Winery Cult Panda Cabernet Sauvignon Cuvee Red Wine, Qinhuangdao, China",红葡萄酒,仁轩酒庄,"('赤霞珠',)",圆润醇厚细腻,这款葡萄酒由精选的梅洛为酿酒原料，经过法国橡木桶的陈年，口感更佳。酒液呈现出靓丽的宝石红色，散发着优雅果香，果香清新自然圆润、醇厚，单宁感细腻，适合搭配多种菜肴。
仁轩酒庄熊猫干红葡萄酒,1204,"Renxuan Winery Cult Panda Cabernet Sauvignon Red Wine, Qinhuangdao, China",红葡萄酒,仁轩酒庄,"('赤霞珠',)",柔和细致丰满,这款葡萄酒由精选的梅洛为酿酒原料，经过法国橡木桶的陈年，口感更佳。酒液呈现出靓丽的宝石红色，散发着优雅果香，果香清新自然，酒体饱满，单宁柔和细致，适合搭配多种菜肴。
仁轩酒庄熊猫珍藏赤霞珠干红葡萄酒,1130,"Renxuan Winery Cult Panda Cabernet Sauvignon Red Wine Reserve, Qinhuangdao, China",红葡萄酒,仁轩酒庄,"('赤霞珠',)",柔和细致丰满,这款葡萄酒由精选的梅洛为酿酒原料，经过法国橡木桶的陈年，口感更佳。酒液呈现出靓丽的宝石红色，散发着优雅果香，果香清新自然，酒体饱满，单宁柔和细致，适合搭配多种菜肴。
仁轩酒庄派啊干红葡萄酒,1755,"Renxuan Winery Paia Park Cabernet Sauvignon Dry Wine, Qinhuangdao, China",红葡萄酒,仁轩酒庄,"('赤霞珠',)",圆润醇厚余味悠长,"这款葡萄酒由精选的赤霞珠为酿酒原料，经过法国橡木桶的陈年，口感更佳。酒液呈现出靓丽的宝石红色，散发着优雅果香，果香清新自然，酒体饱满，单宁丰满柔顺，圆润、醇厚、余味悠长,适合搭配多种菜肴。"
仁轩酒庄艾美隆优选干红葡萄酒,2144,"Renxuan Winery Aimeilong Preferable Dry Wine, Qinhuangdao, China",红葡萄酒,仁轩酒庄,"('梅洛',)",协调醇厚,这款葡萄酒由精选的梅洛为酿酒原料，经过法国橡木桶的陈年，口感更佳。酒液呈现出靓丽的宝石红色，散发着优雅芬芳果香，果香清新自然，酒体酒体协调、醇厚，单宁丰满柔顺，适合搭配多种菜肴。
仁轩酒庄凯博娜精制干红葡萄酒,2937,"Renxuan Winery Kiboona Special Red Wine, Qinhuangdao, China",,仁轩酒庄,"('赤霞珠',)",轻柔适口馥郁果香,这款葡萄酒采用上等赤霞珠酿制而成。酒体呈现出宝石红的瑰丽色泽，散发着馥郁的果香，口感轻柔适口，适合与多种菜肴搭配。
仁轩酒庄凯博娜高级霞多丽干白葡萄酒,1317,"Renxuan Winery Premium Kiboona Chardonnay White Wine, Qinhuangdao, China",白葡萄酒,仁轩酒庄,"('霞多丽',)",清爽清新干净,这款葡萄酒采用精选自秦皇岛优质霞多丽酿制而成。酒体呈现禾杆黄色，散发着优雅果香，酒体清爽，口感清新干净，适合与多种才要搭配，年轻时饮用风味更佳。
叶浓庄园一星级赤霞珠干红葡萄酒,3013,"Yenong Manor One-Star Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",成熟水果,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，精湛的橡木桶陈酿工艺窖藏而成。该酒呈宝石红色，酒体澄清，具有优雅芬芳的果香，酒香及橡木香相得益彰，实为酒中佳品。
叶浓庄园蛇龙珠干红葡萄酒,1318,"Yenong Manor Cabernet Gernischt, Shacheng, China",红葡萄酒,叶浓庄园,"('蛇龙珠',)",樱桃草莓紫罗兰,该款葡萄酒来自叶浓庄园，由产自沙城产区的蛇龙珠酿制而成。该酒口感奔放、酒香浓郁、酒体硬朗、活力四射，富含成熟水果香气，如樱桃、草莓、还有紫罗兰等清新诱人的香气。
叶浓庄园精选级赤霞珠干红葡萄酒,1814,"Yenong Manor Selection Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑加仑黑莓,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，精湛的橡木桶陈酿工艺窖藏而成。该酒呈宝石红色，酒体澄清，具有优雅芬芳的果香，酒香及橡木香相得益彰，实为酒中佳品。
叶浓庄园七年窖藏赤霞珠干红葡萄酒,697,"Yenong Manor Sevem-Year Cellar Aged Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑色水果香料蘑菇雪松,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，严格控温发酵，经橡木桶长期贮存陈酿而成。该酒呈宝石红色，酒体澄清，具有幽雅的果香和醇厚的酒香，口味丰满柔顺，余味悠长，堪称干红葡萄酒中的珍品。
叶浓庄园精品西拉干红葡萄酒,1912,"Yenong Manor Fine Syrah, Shacheng, China",红葡萄酒,叶浓庄园,"('西拉',)",黑樱桃覆盆子,该款葡萄酒由叶浓庄园出产，采用来自沙城产区的西拉葡萄酿制而成。葡萄酒酒液清澈明亮，带有深色水果如黑樱桃、覆盆子的香味，口感丰富。
叶浓庄园窖藏赤霞珠干红葡萄酒,1076,"Yenong Manor Cellar Aged Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑色水果香草蘑菇,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，精湛的橡木桶陈酿工艺窖藏而成。该酒呈宝石红色，酒体澄清，具有优雅芬芳的果香，酒香及橡木香相得益彰，实为酒中佳品。
叶浓庄园优选级赤霞珠干红葡萄酒,1809,"Yenong Manor Optimal Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑加仑黑莓,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，精湛的橡木桶陈酿工艺窖藏而成。该酒呈宝石红色，酒体澄清，具有优雅芬芳的果香，酒香及橡木香相得益彰，实为酒中佳品。
叶浓庄园五星级赤霞珠干红葡萄酒,1420,"Yenong Manor Five-Star Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",成熟水果,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，精湛的橡木桶陈酿工艺窖藏而成。该酒呈宝石红色，酒体澄清，具有优雅芬芳的果香，酒香及橡木香相得益彰，实为酒中佳品。
叶浓庄园四星级赤霞珠干红葡萄酒,833,"Yenong Manor Four-Star Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",成熟水果,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，严格控温发酵，经橡木桶长期贮存陈酿而成。该酒呈宝石红色，酒体澄清，具有幽雅的果香和醇厚的酒香，口味丰满柔顺，余味悠长，堪称干红葡萄酒中的珍品。
叶浓庄园三年窖藏赤霞珠干红葡萄酒,722,"Yenong Manor Three-Year Cellar Aged Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑色水果香草蘑菇,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，严格控温发酵，经橡木桶长期贮存陈酿而成。该酒呈宝石红色，酒体澄清，具有幽雅的果香和醇厚的酒香，口味丰满柔顺，余味悠长，堪称干红葡萄酒中的珍品。
叶浓庄园特选级赤霞珠干红葡萄酒,794,"Yenong Manor Special Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑加仑黑樱桃蓝莓,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，精湛的橡木桶陈酿工艺窖藏而成。该酒呈宝石红色，酒体澄清，具有优雅芬芳的果香，酒香及橡木香相得益彰，实为酒中佳品。
叶浓庄园五年窖藏赤霞珠干红葡萄酒,1003,"Yenong Manor Five-Year Cellar Aged Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",成熟水果,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，严格控温发酵，经橡木桶长期贮存陈酿而成。该酒呈宝石红色，酒体澄清，具有幽雅的果香和醇厚的酒香，口味丰满柔顺，余味悠长，堪称干红葡萄酒中的珍品。
叶浓庄园三星级赤霞珠干红葡萄酒,861,"Yenong Manor Three-Star Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑色水果香草蘑菇,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，精湛的橡木桶陈酿工艺窖藏而成。该酒呈宝石红色，酒体澄清，具有优雅芬芳的果香，酒香及橡木香相得益彰，实为酒中佳品。
叶浓庄园精品赤霞珠干红葡萄酒,1250,"Yenong Manor Fine Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑樱桃黑莓,叶浓庄园精品赤霞珠干红葡萄酒采用沙城产区种植的赤霞珠酿制而成。该款葡萄酒呈宝石红，闻之富含红色水果的香气，单宁顺滑，口感圆润饱满。
叶浓庄园十年珍藏赤霞珠干红葡萄酒,1423,"Yenong Manor Ten-Year Reserve Cabernet Sauvignon, Shacheng, China",红葡萄酒,叶浓庄园,"('赤霞珠',)",黑色水果香草咖啡烟熏,该酒选用沙城产区的赤霞珠葡萄为原料，采用先进的生产设备，严格控温发酵，经橡木桶长期贮存陈酿而成。该酒呈宝石红色，酒体澄清，具有幽雅的果香和醇厚的酒香，口味丰满柔顺，余味悠长，堪称干红葡萄酒中的珍品。
